Age,Country,Gender,Region,Total or Difference,Year,Literacy rate,Number of Records
15+,Afghanistan,female,Central and Southern Asia,Total,2011,17.61%,1
15+,Afghanistan,male,Central and Southern Asia,Total,2011,45.42%,1
15+,Afghanistan,total,Central and Southern Asia,Total,2011,31.74%,1
15-24,Afghanistan,female,Central and Southern Asia,Total,2011,32.11%,1
15-24,Afghanistan,male,Central and Southern Asia,Total,2011,61.88%,1
15-24,Afghanistan,total,Central and Southern Asia,Total,2011,46.99%,1
25-64,Afghanistan,female,Central and Southern Asia,Total,2011,8.41%,1
25-64,Afghanistan,male,Central and Southern Asia,Total,2011,37.79%,1
25-64,Afghanistan,total,Central and Southern Asia,Total,2011,23.15%,1
65+,Afghanistan,female,Central and Southern Asia,Total,2011,19.67%,1
65+,Afghanistan,total,Central and Southern Asia,Total,2011,20.32%,1
15+,Afghanistan,female,Central and Southern Asia,Total,2018,29.81%,1
15+,Afghanistan,male,Central and Southern Asia,Total,2018,55.48%,1
15+,Afghanistan,total,Central and Southern Asia,Total,2018,43.02%,1
15-24,Afghanistan,female,Central and Southern Asia,Total,2018,56.25%,1
15-24,Afghanistan,male,Central and Southern Asia,Total,2018,74.08%,1
15-24,Afghanistan,total,Central and Southern Asia,Total,2018,65.42%,1
25-64,Afghanistan,female,Central and Southern Asia,Total,2018,14.33%,1
25-64,Afghanistan,male,Central and Southern Asia,Total,2018,45.38%,1
25-64,Afghanistan,total,Central and Southern Asia,Total,2018,30.46%,1
65+,Afghanistan,female,Central and Southern Asia,Total,2018,3.47%,1
65+,Afghanistan,male,Central and Southern Asia,Total,2018,24.75%,1
65+,Afghanistan,total,Central and Southern Asia,Total,2018,13.33%,1
15+,Bangladesh,female,Central and Southern Asia,Total,2011,55.12%,1
15+,Bangladesh,male,Central and Southern Asia,Total,2011,62.48%,1
15+,Bangladesh,total,Central and Southern Asia,Total,2011,58.77%,1
15-24,Bangladesh,female,Central and Southern Asia,Total,2011,79.54%,1
15-24,Bangladesh,male,Central and Southern Asia,Total,2011,76.40%,1
15-24,Bangladesh,total,Central and Southern Asia,Total,2011,77.98%,1
25-64,Bangladesh,female,Central and Southern Asia,Total,2011,48.07%,1
25-64,Bangladesh,male,Central and Southern Asia,Total,2011,58.54%,1
25-64,Bangladesh,total,Central and Southern Asia,Total,2011,53.24%,1
65+,Bangladesh,female,Central and Southern Asia,Total,2011,18.43%,1
65+,Bangladesh,male,Central and Southern Asia,Total,2011,41.51%,1
65+,Bangladesh,total,Central and Southern Asia,Total,2011,30.19%,1
15+,Bangladesh,female,Central and Southern Asia,Total,2012,54.24%,1
15+,Bangladesh,male,Central and Southern Asia,Total,2012,61.54%,1
15+,Bangladesh,total,Central and Southern Asia,Total,2012,57.86%,1
15-24,Bangladesh,female,Central and Southern Asia,Total,2012,79.37%,1
15-24,Bangladesh,male,Central and Southern Asia,Total,2012,76.28%,1
15-24,Bangladesh,total,Central and Southern Asia,Total,2012,77.83%,1
25-64,Bangladesh,female,Central and Southern Asia,Total,2012,47.22%,1
25-64,Bangladesh,male,Central and Southern Asia,Total,2012,57.41%,1
25-64,Bangladesh,total,Central and Southern Asia,Total,2012,52.25%,1
65+,Bangladesh,female,Central and Southern Asia,Total,2012,14.08%,1
65+,Bangladesh,male,Central and Southern Asia,Total,2012,39.47%,1
65+,Bangladesh,total,Central and Southern Asia,Total,2012,27.18%,1
15+,Bangladesh,female,Central and Southern Asia,Total,2013,57.79%,1
15+,Bangladesh,male,Central and Southern Asia,Total,2013,64.21%,1
15+,Bangladesh,total,Central and Southern Asia,Total,2013,61.02%,1
15-24,Bangladesh,female,Central and Southern Asia,Total,2013,86.93%,1
15-24,Bangladesh,male,Central and Southern Asia,Total,2013,84.09%,1
15-24,Bangladesh,total,Central and Southern Asia,Total,2013,85.53%,1
25-64,Bangladesh,female,Central and Southern Asia,Total,2013,48.92%,1
25-64,Bangladesh,male,Central and Southern Asia,Total,2013,58.57%,1
25-64,Bangladesh,total,Central and Southern Asia,Total,2013,53.74%,1
65+,Bangladesh,female,Central and Southern Asia,Total,2013,15.30%,1
65+,Bangladesh,male,Central and Southern Asia,Total,2013,40.09%,1
65+,Bangladesh,total,Central and Southern Asia,Total,2013,29.33%,1
15+,Bangladesh,female,Central and Southern Asia,Total,2014,57.86%,1
15+,Bangladesh,male,Central and Southern Asia,Total,2014,64.37%,1
15+,Bangladesh,total,Central and Southern Asia,Total,2014,61.09%,1
15-24,Bangladesh,female,Central and Southern Asia,Total,2014,86.48%,1
15-24,Bangladesh,male,Central and Southern Asia,Total,2014,84.63%,1
15-24,Bangladesh,total,Central and Southern Asia,Total,2014,85.55%,1
25-64,Bangladesh,female,Central and Southern Asia,Total,2014,49.89%,1
25-64,Bangladesh,male,Central and Southern Asia,Total,2014,58.75%,1
25-64,Bangladesh,total,Central and Southern Asia,Total,2014,54.25%,1
65+,Bangladesh,female,Central and Southern Asia,Total,2014,22.85%,1
65+,Bangladesh,male,Central and Southern Asia,Total,2014,40.45%,1
65+,Bangladesh,total,Central and Southern Asia,Total,2014,32.15%,1
15+,Bangladesh,female,Central and Southern Asia,Total,2015,62.25%,1
15+,Bangladesh,male,Central and Southern Asia,Total,2015,68.06%,1
15+,Bangladesh,total,Central and Southern Asia,Total,2015,65.14%,1
15-24,Bangladesh,female,Central and Southern Asia,Total,2015,89.54%,1
15-24,Bangladesh,male,Central and Southern Asia,Total,2015,86.19%,1
15-24,Bangladesh,total,Central and Southern Asia,Total,2015,87.89%,1
25-64,Bangladesh,female,Central and Southern Asia,Total,2015,55.19%,1
25-64,Bangladesh,male,Central and Southern Asia,Total,2015,63.63%,1
25-64,Bangladesh,total,Central and Southern Asia,Total,2015,59.36%,1
65+,Bangladesh,female,Central and Southern Asia,Total,2015,19.28%,1
65+,Bangladesh,male,Central and Southern Asia,Total,2015,42.83%,1
65+,Bangladesh,total,Central and Southern Asia,Total,2015,32.10%,1
15+,Bangladesh,female,Central and Southern Asia,Total,2016,69.90%,1
15+,Bangladesh,male,Central and Southern Asia,Total,2016,75.62%,1
15+,Bangladesh,total,Central and Southern Asia,Total,2016,72.76%,1
15-24,Bangladesh,female,Central and Southern Asia,Total,2016,93.54%,1
15-24,Bangladesh,male,Central and Southern Asia,Total,2016,90.91%,1
15-24,Bangladesh,total,Central and Southern Asia,Total,2016,92.24%,1
25-64,Bangladesh,female,Central and Southern Asia,Total,2016,64.15%,1
25-64,Bangladesh,male,Central and Southern Asia,Total,2016,72.01%,1
25-64,Bangladesh,total,Central and Southern Asia,Total,2016,68.07%,1
